ticker,year,n_price_days,start_date,end_date,start_price,end_price,yearly_return
BITB,2024,245,2024-01-11,2024-12-31,25.8896,50.93,0.967199184228416
BITB,2025,250,2025-01-02,2025-12-31,52.84,47.584,-0.0994700984102952
BITI,2023,250,2023-01-03,2023-12-29,36.7154,12.5366,-0.6585465499490677
BITI,2024,252,2024-01-02,2024-12-31,11.5488,23.3737,1.0239072457744527
BITI,2025,250,2025-01-02,2025-12-31,22.5522,23.2,0.028724470339922537
BITO,2022,251,2022-01-03,2022-12-30,7.1236,2.5788,-0.6379920265034533
BITO,2023,250,2023-01-03,2023-12-29,2.5812,6.1178,1.3701379203471253
BITO,2024,252,2024-01-02,2024-12-31,6.5489,11.6523,0.7792759089312711
BITO,2025,250,2025-01-02,2025-12-31,12.0713,12.1784,0.008872283846810047
BITU,2025,250,2025-01-02,2025-12-31,36.8644,22.1896,-0.39807510769197396
BITX,2024,252,2024-01-02,2024-12-31,18.3653,42.9024,1.3360576739830003
BITX,2025,250,2025-01-02,2025-12-31,45.7517,27.9,-0.39018659415934276
BIV,2016,252,2016-01-04,2016-12-30,61.2263,62.9262,0.027764212438118996
BIV,2017,251,2017-01-03,2017-12-29,62.8807,65.2243,0.0372705774585842
BIV,2018,251,2018-01-02,2018-12-31,65.0143,64.9434,-0.0010905293143201877
BIV,2019,252,2019-01-02,2019-12-31,65.0952,71.658,0.1008184935294767
BIV,2020,253,2020-01-02,2020-12-31,71.8141,78.2703,0.08990156529149584
BIV,2021,252,2021-01-04,2021-12-31,78.2534,76.014,-0.02861728691660681
BIV,2022,251,2022-01-03,2022-12-30,75.5281,65.8768,-0.1277842286513231
BIV,2023,250,2023-01-03,2023-12-29,66.3207,70.1591,0.05787634931476893
BIV,2024,252,2024-01-02,2024-12-31,69.856,71.2631,0.020142865322950065
BIV,2025,250,2025-01-02,2025-12-31,71.2917,77.9,0.09269381989768788
BIZD,2016,252,2016-01-04,2016-12-30,6.0759,7.5328,0.23978340657351183
BIZD,2017,251,2017-01-03,2017-12-29,7.5931,7.5602,-0.004332881168429226
BIZD,2018,251,2018-01-02,2018-12-31,7.6149,7.0401,-0.07548359138005745
BIZD,2019,252,2019-01-02,2019-12-31,7.2507,9.2133,0.27067731391451866
BIZD,2020,253,2020-01-02,2020-12-31,9.2243,8.3036,-0.09981245189336863
BIZD,2021,252,2021-01-04,2021-12-31,8.225,11.1036,0.34998176291793315
BIZD,2022,251,2022-01-03,2022-12-30,11.1681,10.1581,-0.09043615297140972
BIZD,2023,250,2023-01-03,2023-12-29,10.2586,12.9024,0.2577154777455013
BIZD,2024,252,2024-01-02,2024-12-31,12.9346,14.8924,0.15136146459882793
BIZD,2025,250,2025-01-02,2025-12-31,15.1075,14.2395,-0.057454906503392356
BKLN,2016,252,2016-01-04,2016-12-30,13.5893,14.8371,0.09182224249961357
BKLN,2017,251,2017-01-03,2017-12-29,14.8561,15.1524,0.019944669193125986
BKLN,2018,251,2018-01-02,2018-12-31,15.1853,14.8972,-0.018972295575326092
BKLN,2019,252,2019-01-02,2019-12-31,14.9382,16.2633,0.08870546652207101
BKLN,2020,253,2020-01-02,2020-12-31,16.2989,16.3749,0.004662891360766697
BKLN,2021,252,2021-01-04,2021-12-31,16.3455,16.5746,0.014016090055366748
BKLN,2022,251,2022-01-03,2022-12-30,16.5671,16.1582,-0.024681446964163856
BKLN,2023,250,2023-01-03,2023-12-29,16.229,18.1751,0.11991496703432136
BKLN,2024,252,2024-01-02,2024-12-31,18.1665,19.5668,0.07708144111413873
BKLN,2025,250,2025-01-02,2025-12-31,19.5483,21.0,0.07426221205936057
BLV,2016,252,2016-01-04,2016-12-30,57.6735,61.4177,0.06492063079230515
BLV,2017,251,2017-01-03,2017-12-29,61.6589,68.0144,0.10307514405868412
BLV,2018,251,2018-01-02,2018-12-31,67.3706,64.9552,-0.0358524341478329
BLV,2019,252,2019-01-02,2019-12-31,65.1704,77.2918,0.18599548261173782
BLV,2020,253,2020-01-02,2020-12-31,77.6923,89.0383,0.14603763822154847
BLV,2021,252,2021-01-04,2021-12-31,88.7216,85.834,-0.03254675298912546
BLV,2022,251,2022-01-03,2022-12-30,84.3495,62.6691,-0.25703056923870327
BLV,2023,250,2023-01-03,2023-12-29,63.5087,67.4621,0.062249739012135485
BLV,2024,252,2024-01-02,2024-12-31,67.272,65.0673,-0.0327729218694256
BLV,2025,250,2025-01-02,2025-12-31,65.1529,69.52,0.06702848223179614
BND,2016,252,2016-01-04,2016-12-30,60.7969,62.3583,0.02568223050846341
BND,2017,251,2017-01-03,2017-12-29,62.366,64.5828,0.03554500849822029
BND,2018,251,2018-01-02,2018-12-31,64.4007,64.3577,-0.00066769460580407
BND,2019,252,2019-01-02,2019-12-31,64.5852,69.9099,0.08244458482748351
BND,2020,253,2020-01-02,2020-12-31,70.1337,75.1317,0.07126388597778233
BND,2021,252,2021-01-04,2021-12-31,74.9954,73.4135,-0.02109329372201496
BND,2022,251,2022-01-03,2022-12-30,73.0055,63.7789,-0.12638225887090693
BND,2023,250,2023-01-03,2023-12-29,64.1961,67.5568,0.05235053219743868
BND,2024,252,2024-01-02,2024-12-31,67.2537,68.3852,0.016824353158265026
BND,2025,250,2025-01-02,2025-12-31,68.5757,74.08,0.08026604176114871
BNDX,2016,252,2016-01-04,2016-12-30,38.5823,40.2781,0.043952797007954514
BNDX,2017,251,2017-01-03,2017-12-29,40.1372,41.2435,0.027562959050456914
BNDX,2018,251,2018-01-02,2018-12-31,41.1525,42.4001,0.030316505680092254
BNDX,2019,252,2019-01-02,2019-12-31,42.4548,45.7337,0.07723272751255461
BNDX,2020,253,2020-01-02,2020-12-31,45.8549,47.784,0.04206965885870417
BNDX,2021,252,2021-01-04,2021-12-31,47.8656,46.4445,-0.029689380264741327
BNDX,2022,251,2022-01-03,2022-12-30,46.436,40.6364,-0.12489447842191403
BNDX,2023,250,2023-01-03,2023-12-29,40.9963,44.27,0.07985354775918818
BNDX,2024,252,2024-01-02,2024-12-31,44.1086,45.8508,0.03949796638297287
BNDX,2025,250,2025-01-02,2025-12-31,45.9443,48.32,0.05170826413722707
BNO,2016,252,2016-01-04,2016-12-30,12.32,15.68,0.2727272727272727
BNO,2017,251,2017-01-03,2017-12-29,15.39,18.1,0.17608836907082526
BNO,2018,251,2018-01-02,2018-12-31,18.1,15.33,-0.1530386740331492
BNO,2019,252,2019-01-02,2019-12-31,15.56,20.85,0.3399742930591261
BNO,2020,253,2020-01-02,2020-12-31,20.97,12.88,-0.3857892226990939
BNO,2021,252,2021-01-04,2021-12-31,12.64,20.91,0.6542721518987342
BNO,2022,251,2022-01-03,2022-12-30,21.16,28.25,0.3350661625708884
BNO,2023,250,2023-01-03,2023-12-29,27.2299,27.31,0.0029416193228766208
BNO,2024,252,2024-01-02,2024-12-31,27.06,29.95,0.10679970436068009
BNO,2025,250,2025-01-02,2025-12-31,31.0,28.32,-0.08645161290322578
BOIL,2016,252,2016-01-04,2016-12-30,90400.0,94800.0,0.04867256637168138
BOIL,2017,251,2017-01-03,2017-12-29,76250.0,32500.0,-0.5737704918032787
BOIL,2018,251,2018-01-02,2018-12-31,33800.0,25820.0,-0.23609467455621302
BOIL,2019,252,2019-01-02,2019-12-31,25100.0,8340.0,-0.6677290836653387
BOIL,2020,253,2020-01-02,2020-12-31,7960.0,2106.78,-0.7353291457286433
BOIL,2021,252,2021-01-04,2021-12-31,2202.0,2609.0,0.18483197093551307
BOIL,2022,251,2022-01-03,2022-12-30,2761.0,1770.0,-0.35892792466497647
BOIL,2023,250,2023-01-03,2023-12-29,1425.0,141.9,-0.9004210526315789
BOIL,2024,252,2024-01-02,2024-12-31,150.6,55.6,-0.6308100929614874
BOIL,2025,250,2025-01-02,2025-12-31,57.02,22.9401,-0.5976832690284111
BOTZ,2017,251,2017-01-03,2017-12-29,14.4694,22.7595,0.5729401357347228
BOTZ,2018,251,2018-01-02,2018-12-31,23.0087,16.1974,-0.2960315011278344
BOTZ,2019,252,2019-01-02,2019-12-31,16.3529,21.4508,0.31174287129499967
BOTZ,2020,253,2020-01-02,2020-12-31,21.8235,32.5811,0.49293651339152755
BOTZ,2021,252,2021-01-04,2021-12-31,32.3648,35.3347,0.09176327368004733
