ticker,year,start_date,end_date,n_price_days,n_return_days,start_price,end_price,total_return,annualized_return,annualized_volatility,sharpe_ratio
BNO,2017,2017-01-03,2017-12-29,251,251,15.39,18.1,0.17608836907082526,0.1722237157024478,0.23701814374349744,0.51567240284659
BNO,2018,2018-01-02,2018-12-31,251,251,18.1,15.33,-0.1530386740331492,-0.1269595806250146,0.2814380797918799,-0.6287691443740453
BNO,2019,2019-01-02,2019-12-31,252,252,15.56,20.85,0.3399742930591261,0.3517627900328172,0.2989204664406431,1.009508628251584
BNO,2020,2020-01-02,2020-12-31,253,253,20.97,12.88,-0.3857892226990939,-0.2906309046180372,0.6076482935079938,-0.5605724697284221
BNO,2021,2021-01-04,2021-12-31,252,252,12.64,20.91,0.6542721518987342,0.5374379318649241,0.3227367136527027,1.5103268740272808
BNO,2022,2022-01-03,2022-12-30,251,251,21.16,28.25,0.3350661625708884,0.43036463329523983,0.5063994788467596,0.7511157676572987
BNO,2023,2023-01-03,2023-12-29,250,250,27.2299,27.31,0.0029416193228766208,0.022251208738366304,0.3356857750530582,-0.08266299415650767
BNO,2024,2024-01-02,2024-12-31,252,252,27.06,29.95,0.10679970436068009,0.13582179590673182,0.29612818530205526,0.28981299371821795
BNO,2025,2025-01-02,2025-12-31,250,250,31.0,28.32,-0.08645161290322578,-0.0010763322589579937,0.33155686717923466,-0.15404999055967947
KSA,2016,2016-01-04,2016-12-30,194,193,18.3899,20.3807,0.10825507479649166,0.1676579996596608,0.25938424190762027,0.45360504090130777
KSA,2017,2017-01-03,2017-12-29,250,250,20.4249,21.6327,0.05913370444898125,0.07065543437344028,0.14593847197418947,0.14153522435875154
KSA,2018,2018-01-02,2018-12-31,251,251,21.4832,24.461,0.13861063528710793,0.14193694782056038,0.19331461514938453,0.4755819819909415
KSA,2019,2019-01-02,2019-12-31,252,252,24.7827,26.7348,0.07876865716810522,0.10255457878922603,0.16506606632071713,0.31838511670299613
KSA,2020,2020-01-02,2020-12-31,253,253,27.098,27.4444,0.012783231234777537,0.10407941335681514,0.3941498936981387,0.1372051958441782
KSA,2021,2021-01-04,2021-12-31,252,252,27.4444,36.3287,0.3237199574412264,0.29040659101582755,0.14018958617573032,1.7148676843547659
KSA,2022,2022-01-03,2022-12-30,251,251,36.7463,34.1273,-0.0712724818553161,-0.04316496918579477,0.1981855936559258,-0.4700895129014294
KSA,2023,2023-01-03,2023-12-29,250,250,34.7969,39.2635,0.12836200925944552,0.15452445623947925,0.16304008353781857,0.6410966798556251
KSA,2024,2024-01-02,2024-12-31,252,252,39.8942,39.1903,-0.01764416882654618,0.012518049600079628,0.16980849022934624,-0.22073072052696902
KSA,2025,2025-01-02,2025-12-31,250,250,39.3055,36.41,-0.07366653521771771,-0.057999116397740164,0.18094317820807015,-0.5968675772542794
XBI,2016,2016-01-04,2016-12-30,252,251,67.071,58.5354,-0.12726215502974458,-0.05814827263570115,0.39702684256215076,-0.2723953673705867
XBI,2017,2017-01-03,2017-12-29,251,251,58.8515,84.0621,0.4283765069709353,0.3896042217065436,0.22872378063447307,1.4847788050918511
XBI,2018,2018-01-02,2018-12-31,251,251,86.182,71.3674,-0.17189900443248007,-0.1184255079420033,0.303248206623842,-0.5554047946965215
XBI,2019,2019-01-02,2019-12-31,252,252,70.4839,94.7607,0.34443043021172204,0.31894775073043113,0.266497041347182,1.0091960097225112
XBI,2020,2020-01-02,2020-12-31,253,253,93.9267,140.1705,0.49233923900232845,0.46590998215301105,0.3889228372435581,1.069389458075337
XBI,2021,2021-01-04,2021-12-31,252,252,140.0015,111.4613,-0.2038563872529937,-0.17591047550384198,0.326872331504182,-0.6911275557165097
XBI,2022,2022-01-03,2022-12-30,251,251,114.9218,82.6339,-0.28095539749638454,-0.1928123894194532,0.4640369798131137,-0.5232608606263309
XBI,2023,2023-01-03,2023-12-29,250,250,80.8738,88.8958,0.09919157996780159,0.1131132317346984,0.28200990060459713,0.22379792907763452
XBI,2024,2024-01-02,2024-12-31,252,252,89.8605,89.8789,0.00020476182527362496,0.04465882953893541,0.2599883433617036,-0.02054388436036072
XBI,2025,2025-01-02,2025-12-31,250,250,91.2533,121.95,0.3363900264428794,0.3467029550169697,0.2795591625861474,1.0613243804003003
HYD,2016,2016-01-04,2016-12-30,252,251,37.2764,38.5296,0.033619126310480585,0.03528033160577132,0.06447398325120285,-0.22830400189295064
HYD,2017,2017-01-03,2017-12-29,251,251,38.4647,44.1798,0.14858038669221396,0.13814674618433756,0.038108378856854114,2.3130542108716234
HYD,2018,2018-01-02,2018-12-31,251,251,44.2648,46.4598,0.04958793443096998,0.050950868438627894,0.029226376428011094,0.032534599045147515
HYD,2019,2019-01-02,2019-12-31,252,252,46.5055,50.8012,0.09236971971057195,0.08978736878975602,0.02968568646867561,1.3402879812713684
HYD,2020,2020-01-02,2020-12-31,253,253,50.8012,50.3874,-0.00814547687849898,0.05990671045614694,0.36318004518693414,0.0272776838580099
HYD,2021,2021-01-04,2021-12-31,252,252,50.24,52.472,0.04442675159235665,0.04095958421585111,0.028946647936460356,-0.31231304584880276
HYD,2022,2022-01-03,2022-12-30,251,251,52.3459,44.0909,-0.15770098517744469,-0.16562635694187886,0.13432624956302172,-1.6052436336407476
HYD,2023,2023-01-03,2023-12-29,250,250,44.2828,46.6971,0.054520039383236796,0.06056820482132327,0.0732533182670077,0.1442692982562544
HYD,2024,2024-01-02,2024-12-31,252,252,46.552,48.7947,0.048176233029730176,0.04577312293484204,0.06057679761921194,-0.06977716273032913
HYD,2025,2025-01-02,2025-12-31,250,250,48.7007,51.12,0.049676904028073565,0.05075691007564639,0.0875069940993973,0.008649709471069555
EWZ,2016,2016-01-04,2016-12-30,252,251,12.3002,20.4499,0.6625664623339458,0.5892901733836113,0.3972281676603105,1.3576332629180141
EWZ,2017,2017-01-03,2017-12-29,251,251,21.3547,25.5401,0.19599432443443354,0.2624759928039633,0.27721416899430257,0.7664687327303612
EWZ,2018,2018-01-02,2018-12-31,251,251,26.3041,24.897,-0.0534935618401694,0.036815633818497465,0.35485889678004245,-0.03715382734133563
EWZ,2019,2019-01-02,2019-12-31,252,252,26.2396,31.7205,0.20887894632540127,0.2800949786712492,0.27458954167362964,0.8379597317101554
EWZ,2020,2020-01-02,2020-12-31,253,253,32.2887,25.2643,-0.21754979296162436,-0.059184382839590585,0.5744386908896324,-0.19007142898138857
EWZ,2021,2021-01-04,2021-12-31,252,252,24.8962,20.5711,-0.17372530747664294,-0.15071205713334945,0.3306625116979045,-0.6069997354786966
EWZ,2022,2022-01-03,2022-12-30,251,251,20.0508,22.9833,0.14625351606918424,0.17579532376474913,0.36010008536002375,0.3493343347557956
EWZ,2023,2023-01-03,2023-12-29,250,250,21.2934,30.5259,0.43358505452393703,0.3231341463889366,0.27205076387142396,1.0039822807409013
EWZ,2024,2024-01-02,2024-12-31,252,252,30.0011,21.2778,-0.29076600524647433,-0.3351401128262871,0.22587743185925122,-1.7050845215305779
EWZ,2025,2025-01-02,2025-12-31,250,250,21.4856,31.74,0.47726849610902167,0.43773977645172507,0.2620965424374167,1.4793776859697012
VCLT,2016,2016-01-04,2016-12-30,252,251,55.0323,61.0766,0.10983186237900289,0.10818291576250286,0.08417227474096532,0.6912361100083962
VCLT,2017,2017-01-03,2017-12-29,251,251,61.1996,68.2205,0.11472133804796125,0.11323259091900999,0.06574070635659013,0.9618483649388303
VCLT,2018,2018-01-02,2018-12-31,251,251,67.5579,63.4202,-0.06124672318115276,-0.07096797585961767,0.0675736844936682,-1.7901639782710477
VCLT,2019,2019-01-02,2019-12-31,252,252,63.718,78.5711,0.23310681440095427,0.217217718328101,0.07636055724639236,2.189844133647953
VCLT,2020,2020-01-02,2020-12-31,253,253,78.8114,88.5024,0.12296444423014918,0.1447570408167078,0.22950403752605475,0.4128774458094244
VCLT,2021,2021-01-04,2021-12-31,252,252,87.9048,86.2933,-0.018332332250343475,-0.01818826463038581,0.11941042416300572,-0.5710411390659064
VCLT,2022,2022-01-03,2022-12-30,251,251,84.9725,64.3182,-0.2430704051310717,-0.2774386794606221,0.18729346806273803,-1.7482653444750107
VCLT,2023,2023-01-03,2023-12-29,250,250,65.0569,71.4666,0.09852452237964004,0.11782578273720926,0.15243934866510653,0.4449361882686568
VCLT,2024,2024-01-02,2024-12-31,252,252,71.11,70.111,-0.014048657010265697,-0.012625171733122165,0.11441958082562373,-0.5473291483960545
VCLT,2025,2025-01-02,2025-12-31,250,250,70.1204,75.89,0.08228133324966769,0.08608223545029606,0.11173899331044612,0.3229153438858021
IWS,2016,2016-01-04,2016-12-30,252,251,55.7388,67.3558,0.20841855224726769,0.20165931403614765,0.15193629799351807,0.9981769731063063
IWS,2017,2017-01-03,2017-12-29,251,251,67.9086,76.2259,0.12247785994704619,0.1276245270122082,0.0824898701097137,0.9410189021872082
IWS,2018,2018-01-02,2018-12-31,251,251,76.5251,66.4672,-0.13143269332545782,-0.12688864539285283,0.14570011090586404,-1.2140597854941888
IWS,2019,2019-01-02,2019-12-31,252,252,66.3105,84.2879,0.2711094019800784,0.24528299060380776,0.12381920247902112,1.5771624004515363
IWS,2020,2020-01-02,2020-12-31,253,253,84.0568,88.3827,0.05146401005034695,0.12794889401018433,0.39966320258593174,0.19503645445923812
IWS,2021,2021-01-04,2021-12-31,252,252,87.0847,113.242,0.3003661952099508,0.26045584148372725,0.1583631361904052,1.3289446429672198
IWS,2022,2022-01-03,2022-12-30,251,251,113.205,99.405,-0.1219027428117132,-0.10405579901667224,0.23176393131666326,-0.6647099837385094
